Taxon,ID Number,Rank,Trophic Mode,Guild,Confidence Ranking,Growth Form,Trait,Notes,Source/Citation
Cantharomyces,792,Genus,Pathotroph,Animal Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Capillistichus,28868,Genus,Pathotroph,Animal Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Capitorostrum,7489,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Capitorostrum cocoes,580661,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Capnodiastrum,7494,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Capnodium coffeae,164147,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Capnodium footii,176095,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,"James TY, et al. 2006. Nature 443:818-822 [Link]"
Capnodium mangiferae,537975,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Capnodium ramosum,153612,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Capnodium theae,280168,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Capnokyma,7495,Genus,Pathotroph,NULL,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Capronia andina,489135,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Placopsis gelida,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Capronia baeomycetis,437009,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Baeomyces,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Capronia epilobarina,412702,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Lobaria,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Capronia etayoi,564361,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Dictyonema,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Capronia guatemalensis,543652,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Parmotrema [as C. guatamalense],"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Capronia hypotrachynae,443793,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Hypotrachyna,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Capronia leopoldiana,536913,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Leptogium,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Capronia leptogii,372304,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Leptogium,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Capronia magellanica,536914,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Fuscopannaria,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Capronia normandinae,125688,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Normandina pulchella,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Capronia paranectrioides,803885,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Erioderma,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
